subject,version,assignmentId,lex_real,lex_norm,lex_comp1,lex_comp1_number,lex_comp1_description,lex_comp1_answer,lex_comp2,lex_comp2_number,lex_comp2_description,lex_comp2_answer,binwts_real,binwts_norm,binwts_comp1,binwts_comp1_number,binwts_comp1_description,binwts_comp1_answer,binwts_comp2,binwts_comp2_number,binwts_comp2_description,binwts_comp2_answer,binatts_real,binatts_norm,binatts_comp1,binatts_comp1_number,binatts_comp1_description,binatts_comp1_answer,binatts_comp2,binatts_comp2_number,binatts_comp2_description,binatts_comp2_answer,signed_weights,full_or_lex,confidence,satisfaction,strategy,strategy2,metastrategy,consistency1,consistency2,consistency3,appropriateness,attention,choice_exp,choice_domain,meditation_exp1,meditation_exp2,meditation_exp3,meditation_exp4,meditation_exp5,meditation_exp6,decisionstyle_responses,bidr_responses,acs_responses,mindfulness_responses,sris_responses,maia_responses,icar_responses,icar_correct,icar_num_correct,suspicion,suspicion2,scale_rts,question_rts,attention_check,gender,age,race,edu,income,nativeEng,permission,feedback,trailer_name_real,trailer_name_reported,trailer_plot,instructions_times,section2_order,strat_q_order,weight_q_order,target_num,observer_num,target_id,target_id_num,target_version,total_time,stamp,id
5dd4074feab0423daf012f92,ma_choice_v4_movies_real1_followup,5dd4074feab0423daf012f92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,2,2,0,4,2,3,2,2,2",,"1,0,0,2,1,1,0,1,0,3,0,1,3,0,3,1,2,1,2,0","3,1,3,3,3,0,0,3,3,3,3,3","0,0,5,0,5,5,0,5,5,5,5,5,5,0,5,0,5,0,0,5","5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5","{""VR.4"":""3"",""VR.16"":""Richard is taller than Matt"",""VR.17"":""47"",""VR.19"":""Sunday"",""LN.7"":""V"",""LN.33"":""H"",""LN.34"":""V"",""LN.58"":""H"",""MX.45"":""B"",""MX.46"":""D"",""MX.47"":""D"",""MX.55"":""B"",""R3D.3"":""E"",""R3D.4"":""C"",""R3D.6"":""D"",""R3D.8"":""D""}","[""VR.17"",""VR.19""]",2,,,"{""mindfulness"":22431,""acs"":52359,""maia"":484694,""sris"":44974,""decisionstyle"":18677,""icar"":73943}",,,,,,,,,,No feedback,,,,"[1229,2283,2034,1782,734,867]",,,,,,,,,1484925,2022-06-28 12:12:00,2671
608bfa04767191aa4d57bfd8,ma_choice_v4_movies_real1_followup,608bfa04767191aa4d57bfd8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,3,4,3,4,2,1,1,1,1",,"0,0,0,3,2,0,0,1,3,3,0,0,3,1,1,0,3,2,3,1","3,1,2,3,3,0,1,3,2,3,3,2","0,0,5,0,4,5,0,5,5,4,4,5,5,0,5,3,0,0,0,5","5,5,5,4,4,4,4,5,5,5,5,5,5,4,4,5,4,3,5,5,5,5","{""VR.4"":""5"",""VR.16"":""It is impossible to tell"",""VR.17"":""57"",""VR.19"":""Monday"",""LN.7"":""W"",""LN.33"":""E"",""LN.34"":""U"",""LN.58"":""I"",""MX.45"":""E"",""MX.46"":""A"",""MX.47"":""A"",""MX.55"":""C"",""R3D.3"":""H"",""R3D.4"":""H"",""R3D.6"":""E"",""R3D.8"":""H""}","[""MX.45"",""VR.4"",""VR.16""]",3,,,"{""acs"":85191,""maia"":76531,""mindfulness"":31900,""decisionstyle"":34533,""sris"":67156,""icar"":271997}",,,,,,,,,,I didn't have any technical issues and I think it took as much time as it said it would,,,,"[1686,20017,4304,1399,2712,985]",,,,,,,,,1585621,2022-06-28 12:13:03,2672
5e24fbd4e1f467771c234e5f,ma_choice_v4_movies_real1_followup,5e24fbd4e1f467771c234e5f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,4,4,4,3,3,3,3,4,3",,"0,0,1,3,2,2,0,2,0,0,3,0,2,2,0,2,3,0,3,0","2,2,2,2,2,0,3,3,0,2,3,2","0,0,4,0,4,5,0,4,4,5,4,5,4,0,5,5,4,0,0,4","0,4,5,4,0,5,5,4,5,5,5,5,5,4,5,5,4,4,5,5,5,4","{""VR.4"":""4"",""VR.16"":""Richard is taller than Matt"",""VR.17"":""35"",""VR.19"":""Tuesday"",""LN.7"":""V"",""LN.33"":""J"",""LN.34"":""Y"",""LN.58"":""I"",""MX.45"":""D"",""MX.46"":""B"",""MX.47"":""E"",""MX.55"":""E"",""R3D.3"":""A"",""R3D.4"":""G"",""R3D.6"":""F"",""R3D.8"":""A""}","[""MX.46"",""R3D.6""]",2,,,"{""maia"":67665,""acs"":38608,""mindfulness"":29652,""sris"":37029,""decisionstyle"":335847,""icar"":208169}",,,,,,,,,,no,,,,"[1371,1991,992,928,982,714]",,,,,,,,,1618100,2022-06-28 12:13:52,2673
60737b97d01c3800e734921d,ma_choice_v4_movies_real1_followup,60737b97d01c3800e734921d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,3,3,3,3,2,2,2,3,2",,"2,1,1,1,1,2,1,2,1,1,2,1,1,0,3,2,1,1,1,2","1,1,1,0,1,1,2,1,0,1,1,1","0,0,5,0,5,5,0,5,5,5,5,5,5,5,0,0,3,0,5,5","5,5,3,4,4,5,3,3,4,4,4,5,5,4,4,2,5,4,2,2,1,1","{""VR.4"":""3"",""VR.16"":""It is impossible to tell"",""VR.17"":""47"",""VR.19"":""Sunday"",""LN.7"":""W"",""LN.33"":""F"",""LN.34"":""T"",""LN.58"":""M"",""MX.45"":""C"",""MX.46"":""B"",""MX.47"":""D"",""MX.55"":""D"",""R3D.3"":""A"",""R3D.4"":""D"",""R3D.6"":""F"",""R3D.8"":""G""}","[""MX.46"",""MX.55"",""R3D.6"",""R3D.8"",""VR.16"",""VR.17"",""VR.19""]",7,,,"{""sris"":77360,""acs"":119692,""decisionstyle"":44563,""mindfulness"":112693,""maia"":117820,""icar"":660107}",,,,,,,,,,It was clear and took about as much time as I thought it would.,,,,"[3630,16536,7312,10856,12593,10944]",,,,,,,,,2003054,2022-06-28 12:21:29,2674
60859f820e5009a67adb3921,ma_choice_v4_movies_real1_followup,60859f820e5009a67adb3921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,2,2,2,2,3,3,3,3,2",,"1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,2,2,2,1","2,1,2,3,2,1,1,2,3,3,2,2","1,0,3,1,5,3,2,3,3,2,1,4,5,1,4,0,0,0,0,4","5,5,5,3,3,4,4,4,4,5,4,5,4,5,3,4,4,4,4,4,4,4","{""VR.4"":""5"",""VR.16"":""Richard is taller than Matt"",""VR.17"":""47"",""VR.19"":""Monday"",""LN.7"":""W"",""LN.33"":""G"",""LN.34"":""X"",""LN.58"":""M"",""MX.45"":""C"",""MX.46"":""A"",""MX.47"":""B"",""MX.55"":""D"",""R3D.3"":""H"",""R3D.4"":""H"",""R3D.6"":""H"",""R3D.8"":""H""}","[""LN.33"",""LN.34"",""MX.47"",""MX.55"",""VR.4"",""VR.17""]",6,,,"{""maia"":65986,""sris"":61605,""mindfulness"":26003,""acs"":66933,""decisionstyle"":36637,""icar"":445516}",,,,,,,,,,"The arrow part was hard as were some of the puzzles, but otherwise it was as expected.",,,,"[2241,9029,5050,3391,2474,1738]",,,,,,,,,1774585,2022-06-28 12:22:54,2675
5c43517c8fefb60001c447fe,ma_choice_v4_movies_real1_followup,5c43517c8fefb60001c447fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,4,4,3,4,1,2,2,2,1",,"2,1,1,1,1,2,1,2,1,2,1,0,2,0,2,1,1,1,1,1","2,1,1,2,2,1,1,2,1,2,3,2","1,1,4,3,4,4,1,4,3,3,3,3,4,5,1,2,4,3,4,3","3,5,1,3,2,2,4,2,2,1,2,4,3,4,4,5,4,1,3,1,1,4","{""VR.4"":""5"",""VR.16"":""It is impossible to tell"",""VR.17"":""57"",""VR.19"":""Sunday"",""LN.7"":""X"",""LN.33"":""G"",""LN.34"":""X"",""LN.58"":""N"",""MX.45"":""C"",""MX.46"":""B"",""MX.47"":""B"",""MX.55"":""A"",""R3D.3"":""G"",""R3D.4"":""G"",""R3D.6"":""A"",""R3D.8"":""F""}","[""LN.7"",""LN.33"",""LN.34"",""LN.58"",""MX.46"",""MX.47"",""VR.4"",""VR.16"",""VR.19""]",9,,,"{""sris"":55289,""decisionstyle"":33388,""mindfulness"":41326,""maia"":82885,""acs"":74161,""icar"":411570}",,,,,,,,,,Thanks. Everything was fine and around the same time.,,,,"[3220,8185,6889,4498,8584,3890]",,,,,,,,,1701938,2022-06-28 12:24:27,2676
5d7ff85ffec5620017b07c40,ma_choice_v4_movies_real1_followup,5d7ff85ffec5620017b07c40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,4,4,4,4,2,2,1,2,3",,"0,0,0,3,3,0,0,0,2,3,0,0,3,1,0,0,3,2,3,0","3,0,3,2,3,0,2,3,1,2,2,3","1,0,5,0,2,4,0,5,5,5,4,3,5,0,5,0,3,1,0,5","5,5,5,3,3,5,4,4,3,5,4,3,5,5,3,4,5,3,5,2,1,5","{""VR.4"":""5"",""VR.16"":""It is impossible to tell"",""VR.17"":""47"",""VR.19"":""Sunday"",""LN.7"":""X"",""LN.33"":""E"",""LN.34"":""X"",""LN.58"":""I"",""MX.45"":""D"",""MX.46"":""A"",""MX.47"":""E"",""MX.55"":""D"",""R3D.3"":""E"",""R3D.4"":""G"",""R3D.6"":""A"",""R3D.8"":""H""}","[""LN.7"",""LN.34"",""MX.55"",""VR.4"",""VR.16"",""VR.17"",""VR.19""]",7,,,"{""sris"":63346,""acs"":75580,""decisionstyle"":30278,""maia"":69431,""mindfulness"":41540,""icar"":453971}",,,,,,,,,,no,,,,"[4254,10263,22415,4251,8802,4698]",,,,,,,,,1685430,2022-06-28 12:24:39,2677
60fcd9699c3def3068403b90,ma_choice_v4_movies_real1_followup,60fcd9699c3def3068403b90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,3,3,3,3,2,3,3,2,1",,"1,1,1,2,1,2,1,2,1,2,1,1,2,2,1,1,2,1,1,1","2,3,1,1,2,1,2,2,1,2,1,2","0,0,4,0,4,4,0,4,0,4,5,4,4,1,4,4,2,3,4,4","5,3,4,4,4,3,4,5,4,4,4,5,5,4,4,4,4,4,4,4,2,3","{""VR.4"":""5"",""VR.16"":""Richard is shorter than Matt"",""VR.17"":""47"",""VR.19"":""Sunday"",""LN.7"":""T"",""LN.33"":""F"",""LN.34"":""V"",""LN.58"":""N"",""MX.45"":""E"",""MX.46"":""A"",""MX.47"":""B"",""MX.55"":""F"",""R3D.3"":""E"",""R3D.4"":""G"",""R3D.6"":""A"",""R3D.8"":""B""}","[""LN.58"",""MX.45"",""MX.47"",""VR.4"",""VR.17"",""VR.19""]",6,,,"{""sris"":75224,""acs"":81081,""decisionstyle"":37257,""maia"":93159,""mindfulness"":37020,""icar"":337239}",,,,,,,,,,This was an engaging module and I was happy that it was able to be completed in the time that was suggested during the description.,,,,"[3135,10496,5215,3051,5184,2308]",,,,,,,,,1517060,2022-06-28 12:26:11,2679
5f2f03deec679e2cf4a992e6,ma_choice_v4_movies_real1_followup,5f2f03deec679e2cf4a992e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,4,4,4,4,2,2,2,2,2",,"1,1,0,2,2,1,1,1,2,2,1,1,2,1,1,1,2,1,2,0","2,2,2,1,2,1,2,2,1,1,2,2","0,0,5,0,5,5,0,5,5,5,5,5,5,1,4,0,1,1,0,4","5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5","{""VR.4"":""5"",""VR.16"":""It is impossible to tell"",""VR.17"":""47"",""VR.19"":""Sunday"",""LN.7"":""X"",""LN.33"":""I"",""LN.34"":""X"",""LN.58"":""N"",""MX.45"":""E"",""MX.46"":""A"",""MX.47"":""B"",""MX.55"":""B"",""R3D.3"":""D"",""R3D.4"":""D"",""R3D.6"":""G"",""R3D.8"":""C""}","[""LN.7"",""LN.34"",""LN.58"",""MX.45"",""MX.47"",""VR.4"",""VR.16"",""VR.17"",""VR.19""]",9,,,"{""acs"":136071,""sris"":103250,""maia"":100386,""mindfulness"":47007,""decisionstyle"":43990,""icar"":667725}",,,,,,,,,,"Everything was explained really well and the experiment was structured beautifully. Everything worked as expected and loaded quickly without issue. I am not sure about time since I am in full screen, but I think that it was only slightly longer than what was stated, but I can't be sure. It seemed like the right amount of time. ",,,,"[3832,12348,16240,16740,15439,7074]",,,,,,,,,2001436,2022-06-28 12:27:27,2680
5a4ff86beedc32000141f232,ma_choice_v4_movies_real1_followup,5a4ff86beedc32000141f232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,3,2,3,3,3,3,3,3,3",,"1,1,1,1,1,2,1,2,1,1,1,1,2,0,2,2,1,1,1,1","1,1,2,2,1,2,1,1,2,2,2,3","2,2,3,3,4,4,2,4,3,4,4,3,4,3,3,3,3,3,3,3","4,4,4,4,4,3,3,4,4,3,3,4,4,4,4,4,3,4,4,4,3,4","{""VR.4"":""3"",""VR.16"":""It is impossible to tell"",""VR.17"":""47"",""VR.19"":""Tuesday"",""LN.7"":""W"",""LN.33"":""F"",""LN.34"":""V"",""LN.58"":""J"",""MX.45"":""D"",""MX.46"":""B"",""MX.47"":""F"",""MX.55"":""E"",""R3D.3"":""B"",""R3D.4"":""E"",""R3D.6"":""F"",""R3D.8"":""B""}","[""MX.46"",""R3D.6"",""VR.16"",""VR.17""]",4,,,"{""mindfulness"":38028,""decisionstyle"":34220,""acs"":82932,""sris"":93683,""maia"":77410,""icar"":341195}",,,,,,,,,,All went well,,,,"[4910,16392,10208,7944,10136,10896]",,,,,,,,,2048446,2022-06-28 12:27:48,2681
